"","Earnings"
"306",6.865
"307",7.118
"308",6.948
"309",7.011
"310",7.143
"311",7.522
"312",6.909
"313",6.458
"314",6.786
"315",6.954
"316",7.496
"317",7.354
"318",6.467
"319",7.553
"320",6.386
"321",6.591
"322",7.591
"323",7.121
"324",7.563
"325",7.191
"326",7.358
"327",7.26
"328",6.998
"329",6.64
"330",7.208
"331",6.784
"332",7.004
"333",7.567
"334",6.825
"335",6.904
"336",7.088
"337",7.562
"338",7.085
"339",6.624
"340",6.971
"341",7.179
"342",7.316
"343",7.4
"344",6.49
"345",6.745
"346",7.3
"347",7.303
"348",6.401
"349",7.446
"350",7.436
"351",6.431
"352",7.382
"353",7.373
"354",7.042
"355",6.439
"356",6.456
"357",7.556
"358",7.51
"359",6.396
"360",6.608
"361",7.339
"362",6.622
"363",6.648
"364",7.112
"365",6.829
"366",6.585
"367",6.831
"368",6.37
"369",7.095
"370",6.753
"371",7.197
"372",6.967
"373",7.026
"374",6.512
"375",6.716
"376",7.573
"377",6.663
"378",6.433
"379",6.818
"380",6.715
"381",6.654
"382",6.385
"383",7.423
"384",7.163
"385",6.991
"386",6.832
"387",6.816
"388",7.551
"389",7.108
"390",7.087
"391",7.44
"392",7.07
"393",6.485
"394",6.941
"395",6.717
"396",6.643
"397",7.568
"398",7.114
"399",6.576
"400",7.001
"401",7.054
"402",7.504
"403",6.982
"404",6.504
"405",7.202
"406",6.449
"407",7.33
"408",7.371
"409",7.601
"410",7.554
"411",6.476
"412",7.571
"413",6.55
"414",6.615
"415",6.797
"416",7.256
"417",6.925
"418",7.589
"419",7.082
"420",7.498
"421",7.512
"422",6.483
"423",6.862
"424",7.278
"425",7.471
"426",6.352
"427",7.453
"428",6.694
"429",6.48
"430",7.396
"431",6.461
"432",6.616
"433",6.455
"434",7.438
"435",7.341
"436",6.368
"437",6.965
"438",6.571
"439",6.683
"440",7.547
"441",7.103
"442",6.552
"443",7.575
"444",6.61
"445",6.897
"446",6.871
"447",7.497
"448",6.646
"449",7.136
"450",6.87
"451",6.6
"452",7.328
"453",6.94
"454",7.14
"455",6.774
"456",6.733
"457",7.41
"458",6.811
"459",6.957
"460",6.903
"461",6.637
"462",7.306
"463",7.283
"464",6.722
"465",7.286
"466",7.222
"467",6.866
"468",6.682
"469",7.064
"470",6.78
"471",6.406
"472",7.605
"473",7.218
"474",6.916
"475",7.049
"476",6.828
"477",6.628
"478",7.002
"479",7.125
"480",6.569
"481",6.692
"482",7.28
"483",6.891
"484",6.357
"485",7.168
"486",6.703
"487",7.158
"488",7.081
"489",7.325
"490",6.754
"491",6.913
"492",7.124
"493",6.872
"494",7.494
"495",7.37
"496",6.734
"497",6.795
"498",6.546
"499",7.236
"500",6.416
"501",7.439
"502",6.418
"503",6.404
"504",6.686
"505",7.116
"506",7.487
"507",6.78
"508",7.017
"509",7.449
"510",7.229
"511",7.164
"512",6.778
"513",7.197
"514",7.054
"515",7.454
"516",6.6
"517",6.621
"518",6.421
"519",6.689
"520",6.521
"521",6.855
"522",6.363
"523",7.338
"524",7.445
"525",6.874
"526",7.593
"527",7.237
"528",6.878
"529",7.391
"530",7.513
"531",6.637
"532",6.696
"533",7.552
"534",6.957
"535",6.872
"536",6.753
"537",7.096
"538",7.046
"539",7.052
"540",6.657
"541",7.362
"542",6.718
"543",7.434
"544",6.984
"545",6.367
"546",6.715
"547",7.321
"548",7.26
"549",7.283
"550",7.222
"551",6.684
"552",6.575
"553",7.098
"554",6.656
"555",6.492
"556",7.062
"557",6.824
"558",6.47
"559",6.678
"560",7.519
"561",6.838
"562",6.357
"563",7.352
"564",7.131
"565",6.359
"566",6.71
"567",6.844
"568",7.265
"569",6.434
"570",7.244
"571",6.388
"572",6.86
"573",6.538
"574",6.592
"575",6.925
"576",6.615
"577",6.493
"578",7.371
"579",7.107
"580",7.584
"581",7.016
"582",6.546
"583",6.935
"584",7.071
"585",6.588
"586",6.831
"587",7.263
"588",6.98
"589",7.476
"590",7.363
"591",7.029
"592",7.198
"593",6.873
"594",7.56
"595",7.102
"596",7.398
"597",6.627
"598",7.583
"599",7.491
"600",6.369
"601",7.095
"602",7.217
"603",7.331
"604",6.732
"605",6.537
"606",7.441
"607",6.769
"608",7.024
"609",7.442
"610",7.525
"611",7.413
"612",6.766
"613",7.526
"614",7.563
"615",6.628
"616",6.505
"617",7.565
"618",7.579
"619",6.814
"620",7.042
"621",6.531
"622",6.729
"623",6.599
"624",7.049
"625",6.563
"626",6.982
"627",6.453
"628",7.448
"629",6.767
"630",7.532
"631",7.245
"632",6.779
"633",7.49
"634",6.385
"635",6.943
"636",7.158
"637",7.512
"638",6.42
"639",7.37
"640",7.276
"641",7.032
"642",6.415
"643",6.994
"644",6.497
"645",6.938
"646",6.783
"647",6.462
"648",6.548
"649",6.937
"650",7.262
"651",7.101
"652",7.086
"653",7.573
"654",7.351
"655",7.397
"656",7.261
"657",7.051
"658",7.081
"659",7.204
"660",7.034
"661",6.362
"662",6.946
"663",7.036
"664",7.604
"665",6.495
"666",7.045
"667",7.394
"668",7.13
"669",6.38
"670",6.389
"671",7.598
"672",7.38
"673",7.122
"674",7.52
"675",7.206
"676",7.464
"677",7.187
"678",6.604
"679",7.133
"680",7.557
"681",7.267
"682",7.128
"683",6.625
"684",6.693
"685",6.93
"686",6.438
"687",7.569
"688",7.482
"689",6.939
"690",6.941
"691",7.551
"692",7.382
"693",7.502
"694",6.442
"695",6.383
"696",6.962
"697",6.654
"698",7.505
"699",6.524
"700",6.978
"701",6.606
"702",7.2
"703",7.457
"704",6.396
"705",7.04
"706",6.762
"707",6.977
"708",6.917
"709",6.765
"710",6.755
"711",7.41
"712",7.167
"713",6.852
"714",6.919
"715",7.473
"716",6.918
"717",6.649
"718",6.577
"719",6.553
"720",6.759
"721",7.266
"722",7.044
"723",7.467
"724",7.007
"725",7.31
"726",6.746
"727",7.03
"728",7.093
"729",7.271
"730",7.354
"731",6.754
"732",6.436
"733",7.376
"734",6.431
"735",6.607
"736",6.364
"737",6.595
"738",6.841
"739",7.44
"740",7.492
"741",7.188
"742",7.251
"743",7.365
"744",6.393
"745",6.583
"746",6.902
"747",7.385
"748",6.549
"749",7.218
"750",7.33
"751",7.22
"752",7.289
"753",6.579
"754",7.3
"755",6.825
"756",7.296
"757",7.564
"758",6.372
"759",6.673
"760",6.735
"761",7.59
"762",7.119
"763",7.159
"764",6.676
"765",6.532
"766",6.782
"767",6.616
"768",6.723
"769",7.078
"770",7.181
"771",7.537
"772",7.15
"773",7.596
"774",7.369
"775",6.734
"776",7.399
"777",7.465
"778",7.257
"779",7.554
"780",7.089
"781",6.703
"782",6.832
"783",6.892
"784",6.985
"785",7.043
"786",7.536
"787",7.293
"788",6.896
"789",6.545
"790",6.877
"791",6.503
"792",6.536
"793",6.971
"794",7.533
"795",7.288
"796",7.417
"797",7.361
"798",6.519
"799",7.063
"800",7.079
"801",7.427
"802",7.166
"803",7.067
"804",7.286
"805",7.373
"806",6.647
"807",7.605
"808",7.602
"809",6.96
"810",6.906
"811",6.529
"812",6.688
"813",7.097
"814",7.048
"815",7.012
"816",6.79
"817",7.341
"818",7.508
"819",7.309
"820",7.146
"821",7.035
"822",7.372
"823",7.568
"824",7.056
"825",6.591
"826",7.223
"827",6.83
"828",6.973
"829",7.207
"830",7.58
"831",6.913
"832",6.796
"833",7.149
"834",6.387
"835",7.396
"836",7.412
"837",6.461
"838",7.478
"839",6.416
"840",6.781
"841",7.12
"842",7.191
"843",7.57
"844",6.807
"845",7.358
"846",6.797
"847",7.066
"848",6.948
"849",6.661
"850",7.446
"851",7.466
"852",6.947
"853",7.047
"854",6.743
"855",6.988
"856",7.258
"857",7.178
"858",6.464
"859",7.608
"860",6.912
"861",6.655
"862",7.353
"863",7.243
"864",6.839
"865",7.033
"866",6.956
"867",6.507
"868",7.424
"869",7.558
"870",7.112
"871",6.865
"872",6.617
"873",7.14
"874",7.601
"875",7.135
"876",7.594
"877",6.72
"878",6.677
"879",6.727
"880",7.1
"881",7.203
"882",6.986
"883",7.019
"884",7.202
"885",6.667
"886",6.751
"887",7.018
"888",7.603
"889",6.697
"890",6.944
"891",7.073
"892",6.757
"893",7.549
"894",7.157
"895",6.443
"896",6.455
"897",6.433
"898",7.403
"899",6.784
"900",6.731
"901",7.507
"902",6.446
"903",6.35
"904",7.27
"905",6.881
"906",7.496
"907",6.429
"908",7.555
"909",6.542
"910",7.281
"911",7.09
"912",6.672
"913",7.395
"914",6.488
"915",7.607
"916",7.356
"917",6.638
"918",7.317
"919",6.534
"920",7.282
"921",7.065
"922",7.287
"923",7.108
"924",6.795
"925",7.305
"926",6.565
"927",7.142
"928",7.168
"929",7.28
"930",6.854
"931",6.508
"932",6.381
"933",6.776
"934",7.414
"935",7.027
"936",7.234
"937",6.366
"938",7.336
"939",7.298
"940",6.4
"941",6.513
"942",7.059
"943",7.404
"944",7.477
"945",6.484
"946",6.541
"947",6.624
"948",7.199
"949",6.426
"950",6.717
"951",6.428
"952",7.173
"953",6.802
"954",6.641
"955",6.835
"956",6.496
"957",6.804
"958",6.539
"959",6.737
"960",7.581
"961",7.578
"962",6.398
"963",6.375
"964",6.636
"965",7.307
"966",7.249
"967",6.922
"968",7.329
"969",7.248
"970",7.268
"971",7.339
"972",7.104
"973",6.67
"974",7.192
"975",7.522
"976",6.964
"977",7.539
"978",7.175
"979",6.512
"980",7.18
"981",7.284
"982",7.544
"983",6.501
"984",6.739
"985",6.629
"986",6.847
"987",6.517
"988",6.768
"989",7.105
"990",7
"991",6.432
"992",6.412
"993",6.469
"994",6.953
"995",7.455
"996",6.851
"997",6.864
"998",7.45
"999",6.87
"1000",6.614
"1001",8.514
"1002",8.428
"1003",9.711
"1004",7.755
"1005",8.39
"1006",10.044
"1007",8.51
"1008",9.46
"1009",7.775
"1010",10.705
"1011",10.323
"1012",8.004
"1013",7.994
"1014",7.663
"1015",10.517
"1016",9.813
"1017",7.704
"1018",9.379
"1019",8.402
"1020",10.17
"1021",10.739
"1022",10.791
"1023",10.756
"1024",9.391
"1025",8.47
"1026",10.38
"1027",7.679
"1028",9.138
"1029",9.986
"1030",10.413
"1031",8.33
"1032",9.462
"1033",8.347
"1034",10.536
"1035",10.464
"1036",8.271
"1037",8.875
"1038",8.354
"1039",8.946
"1040",10.363
"1041",8.777
"1042",10.767
"1043",9.067
"1044",7.881
"1045",8.562
"1046",8.451
"1047",10.585
"1048",9.039
"1049",9.434
"1050",8.267
"1051",7.799
"1052",8.362
"1053",10.355
"1054",10.118
"1055",9.118
"1056",7.959
"1057",10.487
"1058",9.606
"1059",8.545
"1060",10.489
"1061",8.245
"1062",8.253
"1063",10.491
"1064",7.712
"1065",7.963
"1066",8.377
"1067",10.156
"1068",10.781
"1069",8.537
"1070",7.885
"1071",10.023
"1072",8.94
"1073",7.883
"1074",10.572
"1075",9.588
"1076",9.543
"1077",8.548
"1078",9.217
"1079",10.362
"1080",9.57
"1081",8.935
"1082",8.301
"1083",8.984
"1084",10.069
"1085",10.211
"1086",10.267
"1087",10.77
"1088",8.305
"1089",8.939
"1090",10.195
"1091",10.049
"1092",8.328
"1093",9.076
"1094",10.186
"1095",8.18
"1096",8.951
"1097",9.246
"1098",10.576
"1099",9.87
"1100",10.671
"1101",7.823
"1102",9.5
"1103",10.667
"1104",10.617
"1105",10.588
"1106",8.912
"1107",9.515
"1108",8.71
"1109",8.456
"1110",10.498
"1111",10.675
"1112",9.677
"1113",9.575
"1114",8.748
"1115",8.848
"1116",7.648
"1117",10.152
"1118",9.073
"1119",9.374
"1120",8.499
"1121",9.122
"1122",8.809
"1123",9.658
"1124",9.266
"1125",8.527
"1126",10.307
"1127",9.279
"1128",9.17
"1129",9.261
"1130",10.545
"1131",10.311
"1132",8.832
"1133",8.869
"1134",8.326
"1135",10.012
"1136",8.716
"1137",7.802
"1138",8.072
"1139",7.75
"1140",10.468
"1141",8.742
"1142",7.842
"1143",10.593
"1144",9.136
"1145",9.057
"1146",10.493
"1147",10.076
"1148",8.586
"1149",9.113
"1150",9.264
"1151",9.384
"1152",8.85
"1153",9.149
"1154",10.459
"1155",10.559
"1156",10.377
"1157",8.797
"1158",8.876
"1159",8.434
"1160",9.914
"1161",9.296
"1162",9.931
"1163",10.665
"1164",8.829
"1165",9.346
"1166",9.02
"1167",10.281
"1168",8.162
"1169",8.036
"1170",8.059
"1171",9.332
"1172",7.804
"1173",7.701
"1174",9.906
"1175",8.872
"1176",9.782
"1177",7.761
"1178",8.855
"1179",10.006
"1180",8.639
"1181",9.14
"1182",9.373
"1183",7.978
"1184",8.798
"1185",9.325
"1186",8.557
"1187",10.712
"1188",7.914
"1189",7.908
"1190",8.921
"1191",8.445
"1192",9.821
"1193",7.629
"1194",9.553
"1195",8.407
"1196",8.032
"1197",10.486
"1198",10.683
"1199",10.477
"1200",9.447
"1201",9.545
"1202",7.838
"1203",9.559
"1204",9.059
"1205",10.23
"1206",9.827
"1207",8.823
"1208",9.76
"1209",8.329
"1210",8.667
"1211",9.157
"1212",10.625
"1213",9.779
"1214",7.862
"1215",8.954
"1216",8.132
"1217",9.758
"1218",10.526
"1219",8.641
"1220",7.871
"1221",8.713
"1222",10.469
"1223",10.524
"1224",9.371
"1225",8.277
"1226",10.39
"1227",9.027
"1228",10.328
"1229",10.204
"1230",7.724
"1231",8.795
"1232",8.248
"1233",8.526
"1234",10.103
"1235",9.976
"1236",9.172
"1237",8.04
"1238",10.09
"1239",10.393
"1240",7.801
"1241",10.278
"1242",9.006
"1243",10.784
"1244",7.948
"1245",10.226
"1246",9.991
"1247",7.777
"1248",10.533
"1249",9.329
"1250",10.431
"1251",8.754
"1252",8.047
"1253",9.705
"1254",10.595
"1255",9.285
"1256",8.73
"1257",9.548
"1258",9.907
"1259",8.302
"1260",8.2
"1261",7.995
"1262",7.861
"1263",10.031
"1264",8.462
"1265",9.989
"1266",8.656
"1267",8.567
"1268",8.195
"1269",9.499
"1270",9.668
"1271",8.454
"1272",9.153
"1273",10.744
"1274",7.655
"1275",9.101
"1276",10.411
"1277",9.082
"1278",8.067
"1279",9.848
"1280",9.278
"1281",9.32
"1282",10.74
"1283",9.353
"1284",8.945
"1285",10.19
"1286",9.347
"1287",10.419
"1288",8.88
"1289",10.775
"1290",10.396
"1291",8.112
"1292",8.384
"1293",10.084
"1294",8.076
"1295",9.963
"1296",9.825
"1297",10.169
"1298",10.601
"1299",9.338
"1300",8.82
"1301",10.165
"1302",9.302
"1303",10.589
"1304",9.549
"1305",8.62
"1306",9.473
"1307",10.315
"1308",7.671
"1309",10.732
"1310",10.335
"1311",7.729
"1312",9.636
"1313",9.001
"1314",9.901
"1315",9.831
"1316",9.029
"1317",9.565
"1318",9.944
"1319",10.349
"1320",9.923
"1321",9.799
"1322",8.762
"1323",9.731
"1324",7.695
"1325",10.724
"1326",7.615
"1327",9.393
"1328",10.132
"1329",8.571
"1330",10.668
"1331",7.722
"1332",7.827
"1333",8.223
"1334",7.848
"1335",8.495
"1336",9.597
"1337",10.659
"1338",8.435
"1339",10.067
"1340",8.593
"1341",9.158
"1342",9.781
"1343",10.037
"1344",7.66
"1345",7.985
"1346",9.179
"1347",9.591
"1348",7.789
"1349",9.679
"1350",10.608
"1351",9.676
"1352",10.014
"1353",8.414
"1354",8.345
"1355",7.82
"1356",8.024
"1357",10.379
"1358",10.666
"1359",10.596
"1360",9.141
"1361",8.824
"1362",10.013
"1363",10.22
"1364",10.69
"1365",10.439
"1366",9.834
"1367",8.105
"1368",9.84
"1369",10.494
"1370",9.252
"1371",7.973
"1372",10.075
"1373",8.985
"1374",10.618
"1375",10.645
"1376",8.764
"1377",9.883
"1378",10.735
"1379",7.745
"1380",10.275
"1381",10.174
"1382",10.029
"1383",7.697
"1384",10.555
"1385",9.401
"1386",10.531
"1387",9.531
"1388",9.286
"1389",10.521
"1390",8.442
"1391",8.054
"1392",8.31
"1393",8.356
"1394",9.051
"1395",8.502
"1396",9.328
"1397",9.019
"1398",8.064
"1399",10.357
"1400",9.73
"1401",10.144
"1402",9.917
"1403",10.196
"1404",9.316
"1405",9.829
"1406",9.596
"1407",10.792
"1408",8.174
"1409",9.977
"1410",8.238
"1411",10.256
"1412",10.768
"1413",7.728
"1414",9.432
"1415",9.326
"1416",9.399
"1417",8.426
"1418",9.334
"1419",8.013
"1420",10.738
"1421",10.289
"1422",8.852
"1423",8.956
"1424",7.676
"1425",9.854
"1426",8.734
"1427",9.532
"1428",8.411
"1429",8.699
"1430",9.693
"1431",9.657
"1432",10.693
"1433",8.012
"1434",8.707
"1435",7.904
"1436",8.45
"1437",8.988
"1438",9.823
"1439",10.032
"1440",9.075
"1441",10.672
"1442",8.38
"1443",10.072
"1444",9.128
"1445",9.282
"1446",7.748
"1447",10.065
"1448",8.286
"1449",8.833
"1450",9.305
"1451",10.501
"1452",8.694
"1453",8.775
"1454",10.025
"1455",9.225
"1456",8.873
"1457",8.003
"1458",10.129
"1459",9.788
"1460",9.755
"1461",7.941
"1462",8.144
"1463",10.106
"1464",9.684
"1465",8.009
"1466",9.933
"1467",8.295
"1468",7.651
"1469",10.438
"1470",9.177
"1471",10.102
"1472",9.25
"1473",8.281
"1474",8.978
"1475",8.385
"1476",7.884
"1477",7.79
"1478",9.135
"1479",9.612
"1480",9.62
"1481",8.942
"1482",7.645
"1483",9.2
"1484",8.908
"1485",8.63
"1486",9.161
"1487",9.497
"1488",8.675
"1489",8.169
"1490",8.205
"1491",8.103
"1492",8.786
"1493",10.422
"1494",7.786
"1495",7.766
"1496",8.344
"1497",8.892
"1498",10.787
"1499",8.701
"1500",8.532
"1501",10.114
"1502",8.484
"1503",7.635
"1504",9.732
"1505",9.504
"1506",10.29
"1507",9.193
"1508",9.143
"1509",8.561
"1510",8.865
"1511",8.769
"1512",9.796
"1513",8.983
"1514",9.429
"1515",8.14
"1516",8.989
"1517",9.38
"1518",8.879
"1519",10.773
"1520",10.729
"1521",9.983
"1522",9.009
"1523",9.315
"1524",10.36
"1525",10.462
"1526",9.737
"1527",8.136
"1528",10.753
"1529",9.843
"1530",8.204
"1531",9.423
"1532",8.609
"1533",8.849
"1534",7.853
"1535",8.269
"1536",7.628
"1537",10.264
"1538",8.315
"1539",10.41
"1540",7.947
"1541",9.481
"1542",10.409
"1543",8.325
"1544",7.736
"1545",10.626
"1546",9.573
"1547",7.903
"1548",7.975
"1549",8.539
"1550",7.925
"1551",8.691
"1552",7.754
"1553",8.114
"1554",9.121
"1555",8.382
"1556",9.228
"1557",10.65
"1558",8.125
"1559",9.506
"1560",7.846
"1561",9.763
"1562",10.273
"1563",10.543
"1564",10.263
"1565",8.485
"1566",7.632
"1567",9.066
"1568",8.214
"1569",8.486
"1570",9.576
"1571",8.045
"1572",9.97
"1573",9.443
"1574",8.482
"1575",9.568
"1576",8.937
"1577",10.316
"1578",10.178
"1579",9.815
"1580",8.821
"1581",10.516
"1582",9.086
"1583",8.519
"1584",10.563
"1585",8.987
"1586",9.868
"1587",9.893
"1588",7.661
"1589",10.346
"1590",10.249
"1591",8.211
"1592",10.481
"1593",8.592
"1594",7.953
"1595",8.342
"1596",10.354
"1597",8.931
"1598",10.131
"1599",9.39
"1600",8.819
"1601",10.286
"1602",8.234
"1603",8.575
"1604",10.107
"1605",9.046
"1606",7.683
"1607",10.036
"1608",7.771
"1609",8.494
"1610",8.837
"1611",9.458
"1612",8.156
"1613",10.407
"1614",8.838
"1615",9.413
"1616",10.606
"1617",8.897
"1618",9.724
"1619",9.306
"1620",8.858
"1621",10.445
"1622",8.082
"1623",9.523
"1624",9.509
"1625",9.554
"1626",10.448
"1627",8.992
"1628",9.54
"1629",9.146
"1630",9.107
"1631",8.216
"1632",9.171
"1633",9.081
"1634",10.376
"1635",10.185
"1636",9.706
"1637",10.371
"1638",8.705
"1639",9.974
"1640",10.11
"1641",9.68
"1642",10.639
"1643",8.042
"1644",10.089
"1645",9.229
"1646",10.138
"1647",7.757
"1648",10.074
"1649",8.889
"1650",9.842
"1651",10.592
"1652",8.37
"1653",10.08
"1654",8.847
"1655",8.151
"1656",8.448
"1657",7.955
"1658",8.421
"1659",8.058
"1660",10.269
"1661",9.957
"1662",10.525
"1663",8.582
"1664",10.715
"1665",10.244
"1666",9.751
"1667",8.367
"1668",9.993
"1669",8.605
"1670",9.274
"1671",9.195
"1672",9.726
"1673",9.622
"1674",9.824
"1675",9.002
"1676",9.05
"1677",7.659
"1678",8.657
"1679",7.997
"1680",10.175
"1681",7.826
"1682",8.121
"1683",9.905
"1684",7.687
"1685",9.544
"1686",9.221
"1687",9.004
"1688",9.181
"1689",10.504
"1690",8.613
"1691",8.002
"1692",10.716
"1693",9.806
"1694",9.457
"1695",8.818
"1696",9.928
"1697",9.635
"1698",8.728
"1699",8.052
"1700",10.237
"1701",8.077
"1702",8.664
"1703",9.805
"1704",10.726
"1705",8.232
"1706",7.905
"1707",10.736
"1708",10.098
"1709",7.836
"1710",8.437
"1711",9.566
"1712",10.159
"1713",8.237
"1714",7.625
"1715",8.669
"1716",10.586
"1717",8.843
"1718",10.191
"1719",7.746
"1720",9.505
"1721",10.222
"1722",9.771
"1723",8.314
"1724",8.606
"1725",10.042
"1726",9.021
"1727",8.395
"1728",9.875
"1729",9.162
"1730",9.397
"1731",8.687
"1732",10.465
"1733",8.476
"1734",8.063
"1735",9.874
"1736",9.311
"1737",10.447
"1738",9.16
"1739",9.674
"1740",8.601
"1741",9.645
"1742",9.581
"1743",10.44
"1744",9.942
"1745",10.045
"1746",7.867
"1747",8.922
"1748",10.235
"1749",8.986
"1750",8.257
"1751",7.622
"1752",7.878
"1753",7.681
"1754",8.556
"1755",8.088
"1756",9.167
"1757",8.353
"1758",10.375
"1759",10.435
"1760",9.844
"1761",10.552
"1762",9.51
"1763",8.668
"1764",9.826
"1765",9.19
"1766",8.724
"1767",9.514
"1768",9.584
"1769",8.228
"1770",8.378
"1771",10.385
"1772",10.479
"1773",10.698
"1774",8.642
"1775",10.728
"1776",9.538
"1777",9.601
"1778",8.346
"1779",10.594
"1780",9.083
"1781",8.573
"1782",7.658
"1783",7.617
"1784",8.509
"1785",9.646
"1786",8.689
"1787",9.818
"1788",7.91
"1789",10.208
"1790",8.55
"1791",9.65
"1792",10.108
"1793",9.317
"1794",10.077
"1795",10.017
"1796",8.579
"1797",10.133
"1798",9.996
"1799",8.037
"1800",8.555
"1801",9.644
"1802",8.816
"1803",9.614
"1804",8.166
"1805",10.556
"1806",8.005
"1807",9.886
"1808",8.825
"1809",8.263
"1810",9.91
"1811",8.24
"1812",10.217
"1813",8.014
"1814",8.637
"1815",8.431
"1816",9.048
"1817",9.811
"1818",8.911
"1819",8.518
"1820",10.219
"1821",8.324
"1822",8.558
"1823",8.963
"1824",10.298
"1825",10.117
"1826",7.719
"1827",9.127
"1828",8.529
"1829",10.022
"1830",7.675
"1831",7.703
"1832",8.366
"1833",10.568
"1834",8.536
"1835",7.726
"1836",9.521
"1837",9.337
"1838",8.458
"1839",9.488
"1840",8.538
"1841",9.801
"1842",8.598
"1843",8.874
"1844",9.265
"1845",7.851
"1846",9.599
"1847",9.366
"1848",9.803
"1849",9.527
"1850",10.714
"1851",8.962
"1852",8.094
"1853",10.785
"1854",8.589
"1855",9.643
"1856",9.786
"1857",9.653
"1858",9.037
"1859",8.487
"1860",8.78
"1861",8.348
"1862",10.13
"1863",10.719
"1864",8.256
"1865",9.869
"1866",9.025
"1867",7.832
"1868",10.105
"1869",8.541
"1870",8.19
"1871",7.624
"1872",8.933
"1873",9.487
