"sitio","tipo","especie","abund"
"S100","Semi","Sp_70",0
"S100","Semi","Sp_71",0
"S100","Semi","Sp_72",8
"S100","Semi","Sp_73",0
"S100","Semi","Sp_74",0
"S100","Semi","Sp_75",0
"S100","Semi","Sp_76",0
"S100","Semi","Sp_77",0
"S100","Semi","Sp_78",0
"S100","Semi","Sp_79",3
"S100","Semi","Sp_80",0
"S100","Semi","Sp_81",0
"S100","Semi","Sp_82",0
"S100","Semi","Sp_83",1
"S100","Semi","Sp_84",0
"S100","Semi","Sp_85",0
"S100","Semi","Sp_86",0
"S100","Semi","Sp_87",1
"S100","Semi","Sp_88",0
"S100","Semi","Sp_89",0
"S100","Semi","Sp_90",0
"S100","Semi","Sp_91",0
"S100","Semi","Sp_92",0
"S100","Semi","Sp_93",0
"S101","Semi","Sp_1",0
"S101","Semi","Sp_2",0
"S101","Semi","Sp_3",0
"S101","Semi","Sp_4",0
"S101","Semi","Sp_5",0
"S101","Semi","Sp_6",0
"S101","Semi","Sp_7",2
"S101","Semi","Sp_8",4
"S101","Semi","Sp_9",0
"S101","Semi","Sp_10",6
"S101","Semi","Sp_11",0
"S101","Semi","Sp_12",0
"S101","Semi","Sp_13",0
"S101","Semi","Sp_14",13
"S101","Semi","Sp_15",0
"S101","Semi","Sp_16",0
"S101","Semi","Sp_17",0
"S101","Semi","Sp_18",0
"S101","Semi","Sp_19",1
"S101","Semi","Sp_20",0
"S101","Semi","Sp_21",3
"S101","Semi","Sp_22",0
"S101","Semi","Sp_23",0
"S101","Semi","Sp_24",0
"S101","Semi","Sp_25",0
"S101","Semi","Sp_26",0
"S101","Semi","Sp_27",0
"S101","Semi","Sp_28",0
"S101","Semi","Sp_29",0
"S101","Semi","Sp_30",0
"S101","Semi","Sp_31",0
"S101","Semi","Sp_32",0
"S101","Semi","Sp_33",0
"S101","Semi","Sp_34",0
"S101","Semi","Sp_35",0
"S101","Semi","Sp_36",0
"S101","Semi","Sp_37",0
"S101","Semi","Sp_38",0
"S101","Semi","Sp_39",0
"S101","Semi","Sp_40",0
"S101","Semi","Sp_41",0
"S101","Semi","Sp_42",0
"S101","Semi","Sp_43",0
"S101","Semi","Sp_44",0
"S101","Semi","Sp_45",0
"S101","Semi","Sp_46",0
"S101","Semi","Sp_47",0
"S101","Semi","Sp_48",0
"S101","Semi","Sp_49",0
"S101","Semi","Sp_50",0
"S101","Semi","Sp_51",0
"S101","Semi","Sp_52",4
"S101","Semi","Sp_53",0
"S101","Semi","Sp_54",0
"S101","Semi","Sp_55",0
"S101","Semi","Sp_56",0
"S101","Semi","Sp_57",0
"S101","Semi","Sp_58",0
"S101","Semi","Sp_59",0
"S101","Semi","Sp_60",0
"S101","Semi","Sp_61",1
"S101","Semi","Sp_62",0
"S101","Semi","Sp_63",0
"S101","Semi","Sp_64",0
"S101","Semi","Sp_65",0
"S101","Semi","Sp_66",0
"S101","Semi","Sp_67",0
"S101","Semi","Sp_68",0
"S101","Semi","Sp_69",0
"S101","Semi","Sp_70",0
"S101","Semi","Sp_71",0
"S101","Semi","Sp_72",0
"S101","Semi","Sp_73",0
"S101","Semi","Sp_74",0
"S101","Semi","Sp_75",0
"S101","Semi","Sp_76",0
"S101","Semi","Sp_77",0
"S101","Semi","Sp_78",0
"S101","Semi","Sp_79",0
"S101","Semi","Sp_80",1
"S101","Semi","Sp_81",0
"S101","Semi","Sp_82",0
"S101","Semi","Sp_83",0
"S101","Semi","Sp_84",0
"S101","Semi","Sp_85",0
"S101","Semi","Sp_86",0
"S101","Semi","Sp_87",1
"S101","Semi","Sp_88",0
"S101","Semi","Sp_89",0
"S101","Semi","Sp_90",0
"S101","Semi","Sp_91",0
"S101","Semi","Sp_92",0
"S101","Semi","Sp_93",0
"S102","Dry","Sp_1",2
"S102","Dry","Sp_2",0
"S102","Dry","Sp_3",0
"S102","Dry","Sp_4",0
"S102","Dry","Sp_5",4
"S102","Dry","Sp_6",0
"S102","Dry","Sp_7",0
"S102","Dry","Sp_8",0
"S102","Dry","Sp_9",0
"S102","Dry","Sp_10",0
"S102","Dry","Sp_11",0
"S102","Dry","Sp_12",5
"S102","Dry","Sp_13",4
"S102","Dry","Sp_14",0
"S102","Dry","Sp_15",0
"S102","Dry","Sp_16",0
"S102","Dry","Sp_17",0
"S102","Dry","Sp_18",0
"S102","Dry","Sp_19",0
"S102","Dry","Sp_20",0
"S102","Dry","Sp_21",0
"S102","Dry","Sp_22",0
"S102","Dry","Sp_23",2
"S102","Dry","Sp_24",0
"S102","Dry","Sp_25",0
"S102","Dry","Sp_26",0
"S102","Dry","Sp_27",0
"S102","Dry","Sp_28",0
"S102","Dry","Sp_29",0
"S102","Dry","Sp_30",0
"S102","Dry","Sp_31",0
"S102","Dry","Sp_32",0
"S102","Dry","Sp_33",0
"S102","Dry","Sp_34",3
"S102","Dry","Sp_35",0
"S102","Dry","Sp_36",0
"S102","Dry","Sp_37",0
"S102","Dry","Sp_38",10
"S102","Dry","Sp_39",0
"S102","Dry","Sp_40",0
"S102","Dry","Sp_41",0
"S102","Dry","Sp_42",0
"S102","Dry","Sp_43",0
"S102","Dry","Sp_44",0
"S102","Dry","Sp_45",0
"S102","Dry","Sp_46",0
"S102","Dry","Sp_47",0
"S102","Dry","Sp_48",0
"S102","Dry","Sp_49",0
"S102","Dry","Sp_50",0
"S102","Dry","Sp_51",0
"S102","Dry","Sp_52",0
"S102","Dry","Sp_53",0
"S102","Dry","Sp_54",0
"S102","Dry","Sp_55",0
"S102","Dry","Sp_56",0
"S102","Dry","Sp_57",0
"S102","Dry","Sp_58",0
"S102","Dry","Sp_59",0
"S102","Dry","Sp_60",0
"S102","Dry","Sp_61",0
"S102","Dry","Sp_62",0
"S102","Dry","Sp_63",0
"S102","Dry","Sp_64",0
"S102","Dry","Sp_65",0
"S102","Dry","Sp_66",0
"S102","Dry","Sp_67",0
"S102","Dry","Sp_68",0
"S102","Dry","Sp_69",0
"S102","Dry","Sp_70",0
"S102","Dry","Sp_71",0
"S102","Dry","Sp_72",0
"S102","Dry","Sp_73",0
"S102","Dry","Sp_74",0
"S102","Dry","Sp_75",0
"S102","Dry","Sp_76",0
"S102","Dry","Sp_77",2
"S102","Dry","Sp_78",0
"S102","Dry","Sp_79",0
"S102","Dry","Sp_80",0
"S102","Dry","Sp_81",7
"S102","Dry","Sp_82",0
"S102","Dry","Sp_83",0
"S102","Dry","Sp_84",0
"S102","Dry","Sp_85",0
"S102","Dry","Sp_86",0
"S102","Dry","Sp_87",1
"S102","Dry","Sp_88",0
"S102","Dry","Sp_89",0
"S102","Dry","Sp_90",0
"S102","Dry","Sp_91",0
"S102","Dry","Sp_92",0
"S102","Dry","Sp_93",0
"S11","Dry","Sp_1",0
"S11","Dry","Sp_2",1
"S11","Dry","Sp_3",0
"S11","Dry","Sp_4",0
"S11","Dry","Sp_5",0
"S11","Dry","Sp_6",0
"S11","Dry","Sp_7",0
"S11","Dry","Sp_8",0
"S11","Dry","Sp_9",0
"S11","Dry","Sp_10",0
"S11","Dry","Sp_11",0
"S11","Dry","Sp_12",0
"S11","Dry","Sp_13",0
"S11","Dry","Sp_14",0
"S11","Dry","Sp_15",0
"S11","Dry","Sp_16",0
"S11","Dry","Sp_17",0
"S11","Dry","Sp_18",0
"S11","Dry","Sp_19",0
"S11","Dry","Sp_20",0
"S11","Dry","Sp_21",0
"S11","Dry","Sp_22",0
"S11","Dry","Sp_23",0
"S11","Dry","Sp_24",0
"S11","Dry","Sp_25",0
"S11","Dry","Sp_26",0
"S11","Dry","Sp_27",0
"S11","Dry","Sp_28",0
"S11","Dry","Sp_29",0
"S11","Dry","Sp_30",0
"S11","Dry","Sp_31",0
"S11","Dry","Sp_32",0
"S11","Dry","Sp_33",0
"S11","Dry","Sp_34",0
"S11","Dry","Sp_35",0
"S11","Dry","Sp_36",0
"S11","Dry","Sp_37",0
"S11","Dry","Sp_38",0
"S11","Dry","Sp_39",0
"S11","Dry","Sp_40",0
"S11","Dry","Sp_41",0
"S11","Dry","Sp_42",0
"S11","Dry","Sp_43",0
"S11","Dry","Sp_44",0
"S11","Dry","Sp_45",0
"S11","Dry","Sp_46",0
"S11","Dry","Sp_47",0
"S11","Dry","Sp_48",0
"S11","Dry","Sp_49",0
"S11","Dry","Sp_50",0
"S11","Dry","Sp_51",0
"S11","Dry","Sp_52",0
"S11","Dry","Sp_53",0
"S11","Dry","Sp_54",0
"S11","Dry","Sp_55",0
"S11","Dry","Sp_56",0
"S11","Dry","Sp_57",0
"S11","Dry","Sp_58",0
"S11","Dry","Sp_59",0
"S11","Dry","Sp_60",0
"S11","Dry","Sp_61",0
"S11","Dry","Sp_62",0
"S11","Dry","Sp_63",0
"S11","Dry","Sp_64",0
"S11","Dry","Sp_65",0
"S11","Dry","Sp_66",0
"S11","Dry","Sp_67",0
"S11","Dry","Sp_68",0
"S11","Dry","Sp_69",0
"S11","Dry","Sp_70",0
"S11","Dry","Sp_71",0
"S11","Dry","Sp_72",0
"S11","Dry","Sp_73",0
"S11","Dry","Sp_74",0
"S11","Dry","Sp_75",6
"S11","Dry","Sp_76",0
"S11","Dry","Sp_77",0
"S11","Dry","Sp_78",0
"S11","Dry","Sp_79",0
"S11","Dry","Sp_80",0
"S11","Dry","Sp_81",37
"S11","Dry","Sp_82",1
"S11","Dry","Sp_83",0
"S11","Dry","Sp_84",5
"S11","Dry","Sp_85",0
"S11","Dry","Sp_86",0
"S11","Dry","Sp_87",0
"S11","Dry","Sp_88",0
"S11","Dry","Sp_89",0
"S11","Dry","Sp_90",0
"S11","Dry","Sp_91",0
"S11","Dry","Sp_92",0
"S11","Dry","Sp_93",0
"S12","Humid","Sp_1",1
"S12","Humid","Sp_2",0
"S12","Humid","Sp_3",0
"S12","Humid","Sp_4",0
"S12","Humid","Sp_5",0
"S12","Humid","Sp_6",0
"S12","Humid","Sp_7",0
"S12","Humid","Sp_8",0
"S12","Humid","Sp_9",0
"S12","Humid","Sp_10",0
"S12","Humid","Sp_11",0
"S12","Humid","Sp_12",0
"S12","Humid","Sp_13",0
"S12","Humid","Sp_14",0
"S12","Humid","Sp_15",0
"S12","Humid","Sp_16",0
"S12","Humid","Sp_17",2
"S12","Humid","Sp_18",0
"S12","Humid","Sp_19",4
"S12","Humid","Sp_20",0
"S12","Humid","Sp_21",0
"S12","Humid","Sp_22",0
"S12","Humid","Sp_23",0
"S12","Humid","Sp_24",0
"S12","Humid","Sp_25",0
"S12","Humid","Sp_26",0
"S12","Humid","Sp_27",0
"S12","Humid","Sp_28",2
"S12","Humid","Sp_29",2
"S12","Humid","Sp_30",0
"S12","Humid","Sp_31",0
"S12","Humid","Sp_32",0
"S12","Humid","Sp_33",0
"S12","Humid","Sp_34",0
"S12","Humid","Sp_35",0
"S12","Humid","Sp_36",0
"S12","Humid","Sp_37",0
"S12","Humid","Sp_38",8
"S12","Humid","Sp_39",0
"S12","Humid","Sp_40",0
"S12","Humid","Sp_41",0
"S12","Humid","Sp_42",0
"S12","Humid","Sp_43",7
"S12","Humid","Sp_44",0
"S12","Humid","Sp_45",0
"S12","Humid","Sp_46",0
"S12","Humid","Sp_47",0
"S12","Humid","Sp_48",0
"S12","Humid","Sp_49",0
"S12","Humid","Sp_50",0
"S12","Humid","Sp_51",0
"S12","Humid","Sp_52",0
"S12","Humid","Sp_53",0
"S12","Humid","Sp_54",0
"S12","Humid","Sp_55",0
"S12","Humid","Sp_56",2
"S12","Humid","Sp_57",0
"S12","Humid","Sp_58",15
"S12","Humid","Sp_59",0
"S12","Humid","Sp_60",2
"S12","Humid","Sp_61",0
"S12","Humid","Sp_62",0
"S12","Humid","Sp_63",0
"S12","Humid","Sp_64",0
"S12","Humid","Sp_65",1
"S12","Humid","Sp_66",0
"S12","Humid","Sp_67",0
"S12","Humid","Sp_68",0
"S12","Humid","Sp_69",0
"S12","Humid","Sp_70",0
"S12","Humid","Sp_71",0
"S12","Humid","Sp_72",0
"S12","Humid","Sp_73",0
"S12","Humid","Sp_74",0
"S12","Humid","Sp_75",0
"S12","Humid","Sp_76",0
"S12","Humid","Sp_77",0
"S12","Humid","Sp_78",0
"S12","Humid","Sp_79",0
"S12","Humid","Sp_80",0
"S12","Humid","Sp_81",0
"S12","Humid","Sp_82",0
"S12","Humid","Sp_83",15
"S12","Humid","Sp_84",0
"S12","Humid","Sp_85",0
"S12","Humid","Sp_86",0
"S12","Humid","Sp_87",0
"S12","Humid","Sp_88",0
"S12","Humid","Sp_89",0
"S12","Humid","Sp_90",0
"S12","Humid","Sp_91",0
"S12","Humid","Sp_92",3
"S12","Humid","Sp_93",0
"S14","Semi","Sp_1",0
"S14","Semi","Sp_2",0
"S14","Semi","Sp_3",0
"S14","Semi","Sp_4",0
"S14","Semi","Sp_5",0
"S14","Semi","Sp_6",0
"S14","Semi","Sp_7",0
"S14","Semi","Sp_8",0
"S14","Semi","Sp_9",0
"S14","Semi","Sp_10",0
"S14","Semi","Sp_11",0
"S14","Semi","Sp_12",0
"S14","Semi","Sp_13",1
"S14","Semi","Sp_14",0
"S14","Semi","Sp_15",0
"S14","Semi","Sp_16",0
"S14","Semi","Sp_17",0
"S14","Semi","Sp_18",0
"S14","Semi","Sp_19",0
"S14","Semi","Sp_20",0
"S14","Semi","Sp_21",0
"S14","Semi","Sp_22",0
"S14","Semi","Sp_23",0
"S14","Semi","Sp_24",1
"S14","Semi","Sp_25",0
"S14","Semi","Sp_26",0
"S14","Semi","Sp_27",0
"S14","Semi","Sp_28",0
"S14","Semi","Sp_29",0
"S14","Semi","Sp_30",0
"S14","Semi","Sp_31",0
"S14","Semi","Sp_32",0
"S14","Semi","Sp_33",0
"S14","Semi","Sp_34",0
"S14","Semi","Sp_35",0
"S14","Semi","Sp_36",0
"S14","Semi","Sp_37",0
"S14","Semi","Sp_38",1
"S14","Semi","Sp_39",0
"S14","Semi","Sp_40",0
"S14","Semi","Sp_41",0
"S14","Semi","Sp_42",0
"S14","Semi","Sp_43",1
"S14","Semi","Sp_44",0
"S14","Semi","Sp_45",0
"S14","Semi","Sp_46",0
"S14","Semi","Sp_47",0
"S14","Semi","Sp_48",0
"S14","Semi","Sp_49",0
"S14","Semi","Sp_50",0
"S14","Semi","Sp_51",1
"S14","Semi","Sp_52",0
"S14","Semi","Sp_53",0
"S14","Semi","Sp_54",0
"S14","Semi","Sp_55",0
"S14","Semi","Sp_56",1
"S14","Semi","Sp_57",0
"S14","Semi","Sp_58",0
"S14","Semi","Sp_59",0
"S14","Semi","Sp_60",1
"S14","Semi","Sp_61",0
"S14","Semi","Sp_62",0
"S14","Semi","Sp_63",0
"S14","Semi","Sp_64",0
"S14","Semi","Sp_65",1
"S14","Semi","Sp_66",0
"S14","Semi","Sp_67",0
"S14","Semi","Sp_68",0
"S14","Semi","Sp_69",0
"S14","Semi","Sp_70",0
"S14","Semi","Sp_71",0
"S14","Semi","Sp_72",0
"S14","Semi","Sp_73",0
"S14","Semi","Sp_74",0
"S14","Semi","Sp_75",0
"S14","Semi","Sp_76",0
"S14","Semi","Sp_77",0
"S14","Semi","Sp_78",0
"S14","Semi","Sp_79",0
"S14","Semi","Sp_80",0
"S14","Semi","Sp_81",0
"S14","Semi","Sp_82",0
"S14","Semi","Sp_83",0
"S14","Semi","Sp_84",0
"S14","Semi","Sp_85",0
"S14","Semi","Sp_86",0
"S14","Semi","Sp_87",0
"S14","Semi","Sp_88",0
"S14","Semi","Sp_89",0
"S14","Semi","Sp_90",0
"S14","Semi","Sp_91",0
"S14","Semi","Sp_92",0
"S14","Semi","Sp_93",0
"S15","Semi","Sp_1",0
"S15","Semi","Sp_2",0
"S15","Semi","Sp_3",0
"S15","Semi","Sp_4",0
"S15","Semi","Sp_5",0
"S15","Semi","Sp_6",0
"S15","Semi","Sp_7",0
"S15","Semi","Sp_8",0
"S15","Semi","Sp_9",0
"S15","Semi","Sp_10",8
"S15","Semi","Sp_11",0
"S15","Semi","Sp_12",0
"S15","Semi","Sp_13",0
"S15","Semi","Sp_14",9
"S15","Semi","Sp_15",0
"S15","Semi","Sp_16",0
"S15","Semi","Sp_17",0
"S15","Semi","Sp_18",0
"S15","Semi","Sp_19",0
"S15","Semi","Sp_20",0
"S15","Semi","Sp_21",0
"S15","Semi","Sp_22",0
"S15","Semi","Sp_23",0
"S15","Semi","Sp_24",0
"S15","Semi","Sp_25",0
"S15","Semi","Sp_26",0
"S15","Semi","Sp_27",0
"S15","Semi","Sp_28",0
"S15","Semi","Sp_29",0
"S15","Semi","Sp_30",0
"S15","Semi","Sp_31",0
"S15","Semi","Sp_32",0
"S15","Semi","Sp_33",7
"S15","Semi","Sp_34",0
"S15","Semi","Sp_35",0
"S15","Semi","Sp_36",0
"S15","Semi","Sp_37",0
"S15","Semi","Sp_38",0
"S15","Semi","Sp_39",0
"S15","Semi","Sp_40",0
"S15","Semi","Sp_41",0
"S15","Semi","Sp_42",0
"S15","Semi","Sp_43",0
"S15","Semi","Sp_44",0
"S15","Semi","Sp_45",2
"S15","Semi","Sp_46",1
"S15","Semi","Sp_47",0
"S15","Semi","Sp_48",0
"S15","Semi","Sp_49",0
"S15","Semi","Sp_50",0
"S15","Semi","Sp_51",0
"S15","Semi","Sp_52",1
"S15","Semi","Sp_53",0
"S15","Semi","Sp_54",0
"S15","Semi","Sp_55",0
"S15","Semi","Sp_56",0
"S15","Semi","Sp_57",0
"S15","Semi","Sp_58",0
"S15","Semi","Sp_59",0
"S15","Semi","Sp_60",0
"S15","Semi","Sp_61",0
"S15","Semi","Sp_62",6
"S15","Semi","Sp_63",0
"S15","Semi","Sp_64",0
"S15","Semi","Sp_65",0
"S15","Semi","Sp_66",0
"S15","Semi","Sp_67",7
"S15","Semi","Sp_68",0
"S15","Semi","Sp_69",0
"S15","Semi","Sp_70",0
"S15","Semi","Sp_71",0
"S15","Semi","Sp_72",0
"S15","Semi","Sp_73",0
"S15","Semi","Sp_74",0
"S15","Semi","Sp_75",0
"S15","Semi","Sp_76",0
"S15","Semi","Sp_77",0
"S15","Semi","Sp_78",0
"S15","Semi","Sp_79",0
"S15","Semi","Sp_80",0
"S15","Semi","Sp_81",0
"S15","Semi","Sp_82",0
"S15","Semi","Sp_83",0
"S15","Semi","Sp_84",0
"S15","Semi","Sp_85",0
"S15","Semi","Sp_86",0
"S15","Semi","Sp_87",2
"S15","Semi","Sp_88",0
"S15","Semi","Sp_89",0
"S15","Semi","Sp_90",0
"S15","Semi","Sp_91",0
"S15","Semi","Sp_92",0
"S15","Semi","Sp_93",0
"S16","Semi","Sp_1",0
"S16","Semi","Sp_2",0
"S16","Semi","Sp_3",0
"S16","Semi","Sp_4",0
"S16","Semi","Sp_5",0
"S16","Semi","Sp_6",0
"S16","Semi","Sp_7",0
"S16","Semi","Sp_8",1
"S16","Semi","Sp_9",0
"S16","Semi","Sp_10",8
"S16","Semi","Sp_11",0
"S16","Semi","Sp_12",0
"S16","Semi","Sp_13",2
"S16","Semi","Sp_14",0
"S16","Semi","Sp_15",0
"S16","Semi","Sp_16",0
"S16","Semi","Sp_17",0
"S16","Semi","Sp_18",0
"S16","Semi","Sp_19",0
"S16","Semi","Sp_20",0
"S16","Semi","Sp_21",0
"S16","Semi","Sp_22",0
"S16","Semi","Sp_23",0
"S16","Semi","Sp_24",0
"S16","Semi","Sp_25",0
"S16","Semi","Sp_26",0
"S16","Semi","Sp_27",0
"S16","Semi","Sp_28",0
"S16","Semi","Sp_29",0
"S16","Semi","Sp_30",0
"S16","Semi","Sp_31",0
"S16","Semi","Sp_32",0
"S16","Semi","Sp_33",0
"S16","Semi","Sp_34",0
"S16","Semi","Sp_35",0
"S16","Semi","Sp_36",1
